process[Recruitment].b0 catchability[chatTANq].q selectivity[chatTANSel].mu selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011}
90556.99 0.1010267 7.580791 7.687218 1 200 8.279054 25.64951 178.1219 18.35452 26.58036 183.0207 1.008397 2.15206 0.2446057 2.88224 0.633639 0.08521473 1.421226 0.7234726 0.7989622 0.7018093 0.1750944 0.6221119 4.354279 0.542406 1.79751 0.8913381 4.154092 1.740821 0.8693426 6.313963 0.07571614 0.7662962 0.06516875 1.998 0.320617 0.242846 0.3430638 1.189582 0.5126809 0.8123858 0.5990224 0.3562512 2.651491 0.4451715 0.1409355 0.1755613 1.57122
87092.18 0.07730735 6.202831 8.077844 1 1 19.8862 38.30644 163.7975 3.834791 19.40227 61.5496 0.1735904 1.114239 0.3355728 0.2123977 5.596386 0.9764333 1.026323 0.6326002 2.640454 0.1335607 2.292183 2.320729 1.090361 0.09078158 0.423511 0.8220006 0.7048716 0.1709636 1.288886 0.4931154 0.3752817 2.409144 0.9234804 3.175552 0.263957 0.270419 0.6532197 1.142116 0.2095245 0.04982874 0.4272797 0.3054565 0.364611 0.1662749 0.2770147 0.3904376 0.1688664
30212.61 0.04425699 8.700552 7.551672 1 200 6.459789 44.7437 58.50937 20.58621 44.13946 15.59174 0.1511333 0.2677873 0.7364978 0.9319622 0.3920171 0.7964968 0.3580065 0.2479625 1.072182 0.221725 0.1211211 2.590022 0.5203656 2.457016 0.242208 1.936777 0.4254508 0.7483546 0.5592944 1.416887 0.1462362 0.6929193 1.978799 0.5629369 0.2603009 0.2908251 0.3973181 0.09367722 0.5402166 0.9945443 0.4737658 0.5520745 0.2463609 0.5851723 2.1781 0.2352325 1.466416
245427.3 0.1704456 7.078268 7.323095 50 1 9.809511 38.73236 62.63678 11.46952 25.38105 64.15104 0.651568 0.882016 0.2010846 0.4254485 1.610699 0.4424347 1.480153 0.7177138 0.4137209 0.4068437 3.692212 1.27276 0.7860262 0.341302 0.4669245 2.396128 0.1733308 0.9553518 0.2679401 0.4850988 1.175451 2.958091 0.9129798 0.7222352 0.6238381 0.3395146 0.1444682 0.8901532 1.51877 1.700683 0.3317734 1.909404 0.3358898 0.3665569 0.488071 2.996074 1.369169
63503.27 0.3020117 8.049103 6.86881 50 200 18.27044 45.28075 195.0034 3.869794 42.79066 41.19122 0.2191394 0.3066915 0.7026988 0.792315 0.1125456 0.9511559 0.1322332 0.7015638 0.3878517 0.3927113 0.4990979 0.2159201 1.576196 0.4825518 0.2306066 0.4274137 0.6825123 0.07296511 0.2272637 0.3438732 0.4499008 3.329362 0.2638328 0.2419326 0.2296663 0.1456255 3.742986 0.5408908 1.161891 0.292461 1.26 0.2445813 1.120698 11.16492 0.6271257 0.6050419 0.4922519
131335.9 0.08018387 7.023338 9.363296 50 1 15.6138 34.9772 140.4114 22.00576 17.62612 48.27956 0.2175832 0.8662904 1.906793 0.6176063 0.4302006 1.038097 8.131055 1.122979 0.3056075 0.2742626 0.3586402 0.2899704 0.4033484 0.2901189 0.5344206 0.4783332 1.259143 0.9288362 1.432673 0.9170524 0.4121512 0.4489682 0.319218 1.273657 0.2401069 0.3855426 0.131863 0.2663072 0.2238622 0.0908731 0.8714149 1.29843 3.559018 0.243243 0.9353396 0.3364828 2.39725
81746.65 0.1880378 7.007483 7.661176 1 1 11.96758 20.58357 113.7785 24.4498 34.91713 32.38278 3.440224 0.6024213 0.7126212 0.4787216 1.68926 0.7363469 0.6554485 0.509099 0.4670023 1.585087 0.9573342 0.5970556 0.8934048 0.4240784 0.9658551 0.7848776 1.5635 0.2334566 3.630441 0.1179569 0.5468746 0.1194547 1.305848 0.4191427 1.010696 2.022673 3.097126 0.8469249 0.9375829 0.7818002 0.6978902 0.6252274 4.714451 2.145176 0.176768 1.834192 1.591426
99414.98 0.4 7.69481 7.4944 1 1 24.96336 40.37613 150.6113 24.11966 31.15987 105.3425 0.2301697 0.5886015 1.255557 0.9869005 0.5703352 0.1191176 1.324356 1.639721 0.2957659 0.1622098 1.302923 0.8512544 0.2649592 0.2935285 0.4691301 0.2464838 0.4270367 0.3360583 1.433185 3.005723 0.6760878 0.7099504 0.1356013 0.7077577 0.2858262 0.4667586 0.7622877 0.4456284 0.1740262 0.4408255 0.5974419 0.2294228 1.480952 0.6965474 0.7122696 0.3478006 0.5761573
26051.37 0.1078628 10.13204 9.993603 38.33854 1 14.88662 25.28037 43.63845 17.05697 40.92165 15.32 0.2410007 0.5016633 0.6312141 1.192345 0.9588124 1.263969 0.7326339 0.5175054 0.3827099 0.534323 0.3710503 1.91917 0.6026277 0.7051226 0.4277839 0.78814 1.357929 0.2285275 0.5257248 3.574972 1.536116 0.7055876 0.5985979 0.9309782 1.877916 0.823552 0.3617305 0.4179131 2.43802 1.674018 0.3826825 0.4338214 0.8094374 0.7859481 1.275129 0.5275847 0.8950637
17184.89 0.07369975 6.894022 7.801078 50 200 21.60985 38.05736 178.7101 7.715936 32.91022 43.3926 1.052584 0.7108067 0.3593862 0.2952242 0.3052999 0.393989 0.9168333 0.4331558 0.1737734 0.1539969 0.8483361 0.4745357 0.6741665 0.5586176 0.7719443 2.028994 2.093309 0.4850127 0.8928237 1.398563 1.112826 0.6693608 0.8686943 0.09582751 0.8113683 0.8735346 1.024635 0.1124724 0.04015147 0.8351151 0.4177276 2.385433 0.5081749 0.9619941 1.574677 2.341725 0.4477303
